wordform	third_person_present_tense	Perfekt
befehlen	befiehlt	befohlen
beginnen	beginnt	begonnen
biegen	biegt	gebogen(h/s)
bieten	bietet	geboten
bitten	bittet	gebeten
bleiben	bleibt	geblieben(s)
brechen	bricht	gebrochen(h/s)
brennen	brennt	gebrannt
bringen	bringt	gebracht
denken	denkt	gedacht
dürfen	darf	gedurft
empfangen	empfängt	empfangen
empfehlen	empfiehlt	empfohlen
entlassen	entlässt	entlassen
ergreifen	ergreift	ergriffen
essen	isst	gegessen
fahren	fährt	gefahren(s)
fallen	fällt	gefallen(s)
fangen	fängt	gefangen
finden	findet	gefunden
fliegen	fliegt	geflogen(s)
fließen	flißt	geflossen(s)
fressen	frisst	gefressen
geben	gibt	gegeben
gehen	geht	gegangen(s)
genießen	genießt	genossen
geschehen	geschieht	geschehen(s)
gewinnen	#NAME?	gewonnen
haben	hat	gehabt
halten 	hält	gehalten
hängen	hängt	gehangen
hauen	haut 	gehauen
heben	hebt	gehoben
heißen	heißt	geheißen
helfen	hilft	geholfen
kennen	kennt	gekannt
kommen	kommt	gekommen(s)
können	kann	gekonnt
laden	ladet/lädt	geladen
lassen	lässt	gelassen
laufen	läuft	gelaufen(s)
leiden	leidet	gelitten
leihen	leiht	geliehen
lesen	liest	gelesen
liegen	liegt	gelegen
mögen	mag	gemocht
müssen	muss	gemust
nehmen	nennt	genannt
riechen	riecht	gerochen
rufen	ruft	gerufen
scheinen	scheint	geschienen
schießen	schießt	geschossen
schlafen	schläft	geschlafen
schlagen	schlägt	geschlagen
schließen	schließt	geschlossen
schneiden	schneidet	geschnitten
schreiben	schreibt	geschrieben
schwimmen	schwimmt	geschwommen(h/s)
sehen	sieht	gesehen
sein	ist	gewesen
singen	singt	gesungen
sitzen	sitzt	gesessen
sollen	soll	gesollt
sprechen	spricht	gesprochen
springen	springt	gesprungen(s)
stehen	steht	gestanden
steigen	steigt	gestiegen(s)
sterben	stirbt	gestorben(s)
streichen	streicht	gestrichen
streiten	streitet	gestritten
tragen	trägt	getragen
treffen	trifft	getroffen
treiben	treibt	getrieben
treten	tritt	getreten(h/s)
trinken	trinkt	getrunken
tun 	tut	getan
unterbrechen	unterbricht	unterbrochen
verbinden	verbindet	verbunden
vergessen	vergisst	vergessen
vergleichen	vergleicht	verglichen
waschen	wäscht	gewaschen
wenden	wendet	gewandt/gewendet
werden	wird	geworden(s)
wiegen	wiegt	gewogen
wissen	weiß	gewusst
wollen	will	gewollt
ziehen	zieht	gezogen
