wordform	weight
wochen	1.098612
geboren	0.693147
rom	0.693147
ganz	1.791759
obst	1.098612
spüle	0.693147
telefon	0.693147
diesem	0.693147
sollte	0.693147
sieht	1.609438
hauptgerichten.Was	0.693147
steigen	1.098612
alt	0.693147
als	1.609438
s-Bahn-	0.693147
macht	1.791759
putze	1.386294
helles	0.693147
nachspeisen	1.098612
jahre	0.693147
mache	1.609438
aus	2.397895
können	1.098612
übrigens	0.693147
italienisch	0.693147
vergessen	0.693147
über	1.791759
neue	0.693147
saugen	0.693147
chinesischen	1.791759
richtig	0.693147
wählen	1.386294
gerade	0.693147
verschiedenen	0.693147
letzten	0.693147
einmal	1.945910
liest	0.693147
fall	1.098612
früh	0.693147
kann	2.639057
möchtest	1.386294
bleiben.Julia	0.693147
fahre	1.098612
olaf	0.693147
zeit	1.098612
einkaufswagen	0.693147
schwarze	0.693147
haben	1.791759
fahrt	1.386294
gut	2.890372
bleiben	0.693147
zeig	0.693147
probiere	0.693147
dir	1.386294
ist:0173	0.693147
deutsch	1.098612
bestellen	1.098612
erdbeeren	1.098612
spät	0.693147
zahlen	0.693147
hörst	0.693147
zu	3.044522
beilage	0.693147
u-Bahnlinien.Möchtest	0.693147
wo	1.098612
schmekt	0.693147
heißt	0.693147
sonntags	0.693147
wechselt	0.693147
u-Bahnlinie	0.693147
kaufe	1.386294
zweimal	0.693147
tomaten	0.693147
arbeiten	0.693147
bewertung	1.098612
einige	1.609438
trinken	1.098612
habe.Wie	0.693147
toll	1.386294
kauft	1.098612
studentenkarte	0.693147
jede	1.098612
groß	1.791759
ordnung	0.693147
erstellen	0.693147
habt	1.098612
rechtzeitig	0.693147
leg	0.693147
lange	1.386294
ausgeliehen.Eigentlich	0.693147
kannst	2.079442
drei	1.098612
faschingskonzert	1.386294
gibt.Sind	0.693147
china	2.302585
hauptspeise	1.098612
hast	2.302585
bewertungen	0.693147
süßsauer	0.693147
buch	1.791759
nehme	1.386294
pech.Vielleicht	0.693147
ab.Badezimmer	0.693147
auf	2.564949
blattgemüse	0.693147
obsttheke	0.693147
stuhl.Nimm	0.693147
stuhl.Sitzt	0.693147
wie	2.890372
putzen	1.609438
beijing	1.386294
nanjing	0.693147
willkommen	0.693147
gesicht	1.098612
suchmaschine	0.693147
stern	0.693147
treibt	0.693147
steht	0.693147
sauber	1.386294
probier	0.693147
habe	2.995732
stimmt.Mein	0.693147
einfachen	0.693147
geschehen	0.693147
gern	2.302585
sauge	0.693147
okay.Aha	0.693147
wollen	1.386294
musik	0.693147
sondern	1.098612
willst	0.693147
doch.Dann	0.693147
tandempartnersuche	0.693147
schön	1.609438
u-Bahnlinien.Mit	0.693147
möglichkeit.Ich	0.693147
haha	0.693147
problem	1.098612
unterkunft	0.693147
umsteign	0.693147
einsprachiges	0.693147
zusammen	0.693147
muss	2.302585
komm	1.098612
studenten	1.098612
jasmintee	1.098612
gebeten	0.693147
stadt	0.693147
dem	1.945910
den	2.484907
interessiert	0.693147
dritte	0.693147
ja.Und	0.693147
wirklich	1.098612
ihre	1.098612
mittwoch	0.693147
wieder	0.693147
vor	1.609438
handynummer	1.386294
noch	2.708050
wann	0.693147
gibst	0.693147
tür	1.098612
spezialität	0.693147
samstag	1.098612
portale	0.693147
packungen	1.098612
schneller	1.945910
danke.Der	0.693147
mehr	1.098612
wörterbuch	0.693147
s-Bahn	0.693147
verstehe.Reis	0.693147
u-Bahnstation	0.693147
empfehlen	1.098612
hol	0.693147
telefonisch	0.693147
dienstag	1.098612
ausspracheübungen	0.693147
wäsche	0.693147
augen	0.693147
hauptgericht.Zuerst	0.693147
spät.Fährt	0.693147
studentenforum.Es	0.693147
müll	0.693147
verpassen	0.693147
okay	0.693147
toll.Am	0.693147
wäscht	0.693147
kochen.Ich	0.693147
brett	1.098612
billig	1.098612
recht	0.693147
physik	1.098612
web.de	0.693147
frei	0.693147
wohnheim	0.693147
mal	2.708050
man	2.397895
paar	0.693147
kaufen	1.386294
studenten.Jeder	0.693147
eher	0.693147
schaue	0.693147
isst	1.609438
so	2.639057
e-mailadresse	0.693147
z.B	1.098612
wohne	1.098612
joghurt	0.693147
großen	1.386294
nachspeise	1.386294
sportlich	0.693147
meter	1.098612
immer	1.609438
gut.Was	0.693147
wohnt	0.693147
fangt	0.693147
stimmt.Das	0.693147
nett	0.693147
fahrplan	0.693147
wäre	0.693147
insgesamt	0.693147
balkon.Die	0.693147
alle	2.079442
bruder.Hier	0.693147
verspätet	0.693147
chinesen	1.098612
s-Bahnlinie	1.098612
einkaufen.Felix	0.693147
veranstaltet	1.098612
natürlich	0.693147
reihe	1.098612
sitzt	0.693147
hin	0.693147
teilen	0.693147
üben	0.693147
landschaft	0.693147
nach	1.609438
toll.Also	0.693147
morgen	0.693147
sie	2.944439
müssen	1.945910
beim	0.693147
china.Diese	0.693147
warmmiete	0.693147
deinen	0.693147
mal.Herr	0.693147
doch	2.484907
uhr	1.098612
tivolistraße	0.693147
handy	0.693147
wochenende	1.098612
hui.Na	1.098612
zustand	0.693147
ja.Nur	0.693147
deutschland	0.693147
schlafzimmern	0.693147
normalweise	0.693147
klingt	1.098612
taschen	0.693147
kommt	0.693147
ausleihverbot	0.693147
gutem	0.693147
warten	1.098612
nein	2.079442
ziemlich	0.693147
idee	0.693147
ihm	0.693147
schwester	1.098612
findest	0.693147
gemeinsam	0.693147
liegt	1.098612
er	2.708050
fisch	1.609438
einem	1.386294
eltern	1.386294
chhnjbj	0.693147
studentenwohnheimen	0.693147
reihenhaus	0.693147
u-Bahn.Danke	0.693147
zwar	1.098612
internet	0.693147
beträgt	1.098612
foto	1.098612
greif	0.693147
besuchen.Am	0.693147
nichts	0.693147
wievielten	0.693147
mir	2.079442
türen	0.693147
unbedingt	0.693147
sogenannte	0.693147
länger,24	0.693147
meistens	0.693147
vier	0.693147
gurken	0.693147
wochenanfang	0.693147
dabei	0.693147
normalerweise	1.098612
turm	1.098612
große	0.693147
pudding	0.693147
zwillinge	0.693147
weltweit	0.693147
deshalb	0.693147
zimmer.Kann	0.693147
euro.Zur	0.693147
bekommen	0.693147
tipps	0.693147
einer	1.098612
ihr	2.302585
ich.Möchtest	0.693147
gegeben	0.693147
handykalender	0.693147
ihn	1.791759
fast	0.693147
bibliothek	1.098612
einen	2.944439
jeder	0.693147
für	2.995732
endlich	1.098612
basketball	0.693147
kuchen	1.098612
nächste	0.693147
kochst	0.693147
lege	0.693147
geben	0.693147
