Nachbarin	（女）邻居
Vermieterin	（女）出租者
Suche	寻找
Informatiker	电脑工程师
Firma	公司
seit	自…以来
Anzeige	广告，告示
Vermieter	出租者
dringend	迫切的
mieten	租用，租借，租赁
besichtigen	参观
weg	不在，离开
Problem	问题，困难
zeigen	给……看
ausziehen	脱衣服，搬出
nötig	必要的
renoviert	修缮过的，装修过的
ziemlich	相当(改)
zwar	虽然
modern	现代的，时髦的
hell	明亮的
Süden	南部，南方，南面
Fenster	窗户，窗子
Internetanschluss	网络接口
hinter	在…后面;到…后面去
Parkplatz	停车场
Miete	租金
hoch	高的
Monat	月，月份
warm	温暖的，热的
nehmen	接受，选，购，乘，坐
Nachbar	邻居
einhalten	遵守 
Haustier	宠物
halten	养着，饲养；拿着，停着
Umzug	搬家
umziehen	搬家
betrachten	细看，打量
Drehstuhl	转椅
über	在/到…上方
gegenüber	在…对面,面对
hängen	挂着，悬着，吊着
stehen	站立，竖直，竖放着
Nachttisch	床头柜
Lampe	灯
Wand	墙壁，墙面
Ecke	角落，隅
Regal	架子，书架
Sache	物品，东西，事情
Ordnung	规则，秩序
Laptop	笔记本电脑
stecken	插入，插着
Steckdose	插座
Stecker	插头
Koffer	箱子
Kleidung	衣服（总称）
Schrank	柜子，橱子
stellen	竖放，直立
Wecker	闹钟
legen	平放，摆；躺，卧
